year,region,type,fishery,CWT_catch,tot_catch
2006,NCST,Commercial,Net,5.470000000000001,1055
2006,NCST,Rec,Rec,56.78,NA
2006,NCST,Commercial,Troll,325.63,127528
2006,WCVI,Commercial,Net,469.32,2183
2006,WCVI,Rec,Rec,1431.91,18985
2007,CCST,Commercial,Net,3.47,18907
2007,ISC,Commercial,Net,1.12,14
2007,ISC,Rec,Rec,2765.21,8660
2007,NCST,Commercial,Net,57.41,61728
2007,NCST,Rec,Rec,1307.49,NA
2007,NCST,Commercial,Troll,506.49,160552
2007,WCVI,Commercial,Net,950.46,4816
2007,WCVI,Rec,Rec,6894.74,50235
2007,WCVI,Commercial,Troll,395.75,1426
2008,CCST,Rec,Rec,184.47,NA
2008,CCST,Commercial,Troll,152.46,13725
2008,ISC,Rec,Rec,265,1565
2008,NCST,Rec,Rec,105.58999999999999,NA
2008,NCST,Commercial,Troll,122.42,62809
2008,WCVI,Commercial,Net,2171.86,4974
2008,WCVI,Rec,Rec,3102.05,28035
2008,WCVI,Commercial,Troll,268.40999999999997,310
2009,CCST,Commercial,Net,10.08,15914
2009,CCST,Rec,Rec,71.79,NA
2009,ISC,Rec,Rec,532.24,10626
2009,NCST,Commercial,Net,3.7,2011
2009,NCST,Rec,Rec,140.06,NA
2009,NCST,Commercial,Troll,678.42,220436
2009,WCVI,Commercial,Net,297.27,909
2009,WCVI,Rec,Rec,12499.01,88716
2010,CCST,Rec,Rec,152.84,NA
2010,ISC,Commercial,Net,3.84,600
2010,ISC,Rec,Rec,360.62,5477
2010,NCST,Commercial,Net,1.1,100
2010,NCST,Rec,Rec,329.78000000000003,NA
2010,NCST,Commercial,Troll,292.17,138295
2010,WCVI,Rec,Rec,1038.88,16576
2011,CCST,Commercial,Net,5.36,15672
2011,CCST,Rec,Rec,339.84,NA
2011,CCST,Commercial,Troll,16.04,15932
2011,ISC,Commercial,Net,88.8,800
2011,ISC,Rec,Rec,615.49,7725
2011,NCST,Commercial,Net,72.44000000000001,11163
2011,NCST,Rec,Rec,1133.14,NA
2011,NCST,Commercial,Troll,1174.6,280715
2011,WCVI,Rec,Rec,15911.81,69864
2012,CCST,Rec,Rec,225.73,NA
2012,ISC,Commercial,Net,22.180000000000003,5
2012,ISC,Rec,Rec,2545.87,10285
2012,NCST,Rec,Rec,773.22,NA
2012,NCST,Commercial,Troll,446.95,215452
2012,WCVI,Commercial,Net,9.98,260
2012,WCVI,Rec,Rec,5796.63,68203
2012,WCVI,Commercial,Troll,140.18,2106
2013,CCST,Rec,Rec,718.18,28721.65982190612
2013,CCST,Commercial,Troll,248,21121
2013,ISC,Rec,Rec,8331.789999999999,57256.54028305398
2013,NCST,Rec,Rec,752.96,45075.54521756261
2013,NCST,Commercial,Troll,741.02,378187
2013,WCVI,Commercial,Net,526.27,1108
2013,WCVI,Rec,Rec,17486.03,133547.76183377352
2013,WCVI,Commercial,Troll,85.3,6126
2014,CCST,Rec,Rec,290.43,31183.94990787595
2014,ISC,Commercial,Net,218.96,1897
2014,ISC,Rec,Rec,1481.3400000000001,33768.8429470369
2014,NCST,Commercial,Net,1.05,26730
2014,NCST,Rec,Rec,188.85,43824.989352537785
2014,NCST,Commercial,Troll,186.89,176662
2014,WCVI,Commercial,Net,56.32,607
2014,WCVI,Rec,Rec,3281.7,77060.79329578414
2014,WCVI,Commercial,Troll,174.18,34949
2015,CCST,Commercial,Net,1,964
2015,CCST,Rec,Rec,62.09,32742.993495734325
2015,ISC,Other,Other,11.42,NA
2015,ISC,Rec,Rec,684.29,23618.69011377909
2015,NCST,Commercial,Net,13.530000000000001,20182
2015,NCST,Rec,Rec,69.24,45976.495614551044
2015,NCST,Commercial,Troll,690.13,255675
2015,WCVI,Commercial,Net,248.23000000000002,335
2015,WCVI,Rec,Rec,2384.89,53130.60377330429
2015,WCVI,Commercial,Troll,126.71,6186
2016,CCST,Rec,Rec,335.25,19738.346217619503
2016,CCST,Commercial,Troll,39.18,4343
2016,ISC,Commercial,Net,193.57,356
2016,ISC,Other,Other,12.059999999999999,NA
2016,ISC,Rec,Rec,2918.99,21592.347541309115
2016,NCST,Commercial,Net,148.26999999999998,37739
2016,NCST,Rec,Rec,290.23,49879.19320494961
2016,NCST,Commercial,Troll,575.34,214610
2016,WCVI,Commercial,Net,600.41,808
2016,WCVI,Rec,Rec,3308.99,33222.19791871781
2016,WCVI,Commercial,Troll,2.33,253
2017,CCST,Rec,Rec,159.16,31658.858089078814
2017,CCST,Commercial,Troll,7.34,4568
2017,ISC,Commercial,Net,149.06,369
2017,ISC,Other,Other,9.69,NA
2017,ISC,Rec,Rec,4021.68,18121.222891472382
2017,NCST,Commercial,Net,2.0300000000000002,12852
2017,NCST,Rec,Rec,545.61,44553.89278654362
2017,NCST,Commercial,Troll,859.72,333175
2017,WCVI,Commercial,Net,316.68,783
2017,WCVI,Rec,Rec,3492.27,30201.158153063014
2017,WCVI,Commercial,Troll,40.39,331
2018,CCST,Rec,Rec,206.88,24457.988877959815
2018,CCST,Commercial,Troll,4.33,0
2018,ISC,Commercial,Net,8.08,813
2018,ISC,Rec,Rec,3444.95,29441.7268046054
2018,NCST,Commercial,Net,4.94,728
2018,NCST,Rec,Rec,338.73,36390.88697159954
2018,NCST,Commercial,Troll,786.77,176527
2018,WCVI,Commercial,Net,1606.3400000000001,4053
2018,WCVI,Rec,Rec,3727.58,47719.21153312985
2018,WCVI,Commercial,Troll,550.9399999999999,2
2019,CCST,Rec,Rec,125.45,34741.84844989851
2019,CCST,Commercial,Troll,4.86,2161
2019,ISC,Commercial,Net,11.82,0
2019,ISC,Rec,Rec,2022.1299999999999,14094.251066984974
2019,NCST,Commercial,Net,2.65,0
2019,NCST,Rec,Rec,263.35,53612.07241849753
2019,NCST,Commercial,Troll,545.41,177119
2019,WCVI,Commercial,Net,1260.96,2922
2019,WCVI,Rec,Rec,3951.2599999999998,54817.15489509299
2019,WCVI,Commercial,Troll,5.03,0
2020,ISC,Commercial,Net,36.12,196
2020,ISC,Rec,Rec,5658.89,10916.217896353188
2020,NCST,Commercial,Net,1.21,0
2020,NCST,Rec,Rec,26.64,22717.386720011473
2020,NCST,Commercial,Troll,175.44,89381
2020,WCVI,Commercial,Net,659.53,0
2020,WCVI,Rec,Rec,5180.36,34452.94113897832
2020,WCVI,Commercial,Troll,10.48,6
1975,NCST,Commercial,Net,NA,100898
1975,NCST,Commercial,Troll,NA,227639
1978,NCST,Commercial,Net,NA,195121
1996,ISC,Commercial,Troll,NA,3
1998,CCST,Commercial,Troll,NA,0
1998,NCST,Commercial,Net,NA,6
1998,NCST,Commercial,Troll,NA,0
1998,WCVI,Commercial,Net,NA,64
1998,WCVI,Commercial,Troll,NA,0
1999,CCST,Commercial,Troll,NA,0
1999,NCST,Commercial,Troll,NA,864
1999,WCVI,Commercial,Net,NA,112
1999,WCVI,Commercial,Troll,NA,0
2000,NCST,Commercial,Troll,NA,5739
2000,WCVI,Commercial,Troll,NA,5
2001,CCST,Commercial,Troll,NA,0
2001,ISC,Commercial,Troll,NA,0
2001,WCVI,Commercial,Troll,NA,0
2002,ISC,Commercial,Troll,NA,6
2002,NCST,Commercial,Net,NA,413
2002,WCVI,Commercial,Net,NA,1084
2002,WCVI,Commercial,Troll,NA,5
2003,CCST,Commercial,Troll,NA,20712
2003,ISC,Commercial,Troll,NA,3
2003,WCVI,Commercial,Troll,NA,283
2004,CCST,Commercial,Troll,NA,33548
2004,ISC,Commercial,Net,NA,43
2004,ISC,Commercial,Troll,NA,10
2004,WCVI,Commercial,Net,NA,2891
2004,WCVI,Commercial,Troll,NA,233
2005,CCST,Commercial,Troll,NA,48099
2005,ISC,Commercial,Net,NA,166
2005,ISC,Commercial,Troll,NA,4
2006,CCST,Commercial,Troll,NA,10735
2006,ISC,Commercial,Net,NA,8
2006,ISC,Rec,Rec,NA,3572
2006,ISC,Commercial,Troll,NA,0
2006,WCVI,Commercial,Troll,NA,2644
2007,CCST,Commercial,Troll,NA,28184
2007,ISC,Commercial,Troll,NA,0
2008,CCST,Commercial,Net,NA,0
2008,ISC,Commercial,Net,NA,6
2008,ISC,Commercial,Troll,NA,5
2008,NCST,Commercial,Net,NA,8
2009,ISC,Commercial,Net,NA,19
2009,ISC,Commercial,Troll,NA,6
2009,WCVI,Commercial,Troll,NA,0
2010,CCST,Commercial,Net,NA,362
2010,CCST,Commercial,Troll,NA,0
2010,ISC,Commercial,Troll,NA,0
2010,WCVI,Commercial,Net,NA,767
2010,WCVI,Commercial,Troll,NA,458
2011,ISC,Commercial,Troll,NA,0
2011,WCVI,Commercial,Net,NA,985
2011,WCVI,Commercial,Troll,NA,0
2012,CCST,Commercial,Net,NA,495
2012,CCST,Commercial,Troll,NA,0
2012,ISC,Commercial,Troll,NA,0
2012,NCST,Commercial,Net,NA,0
2013,CCST,Commercial,Net,NA,24499
2013,ISC,Commercial,Net,NA,2639
2013,ISC,Commercial,Troll,NA,0
2013,NCST,Commercial,Net,NA,21022
2014,CCST,Commercial,Net,NA,11775
2014,CCST,Commercial,Troll,NA,0
2014,ISC,Commercial,Troll,NA,6
2015,CCST,Commercial,Troll,NA,0
2015,ISC,Commercial,Net,NA,687
2015,ISC,Commercial,Troll,NA,0
2016,CCST,Commercial,Net,NA,224
