year,region,type,fishery,CWT_catch,tot_catch
2012,CCST,Rec,Rec,2098.73,NA
2012,ISC,Commercial,Net,293.51,1
2012,ISC,Rec,Rec,6630.2,34664
2012,NCST,Rec,Rec,1609.45,NA
2012,NCST,Commercial,Troll,1771.14,80522
2012,WCVI,Commercial,Net,5045.06,10230
2012,WCVI,Rec,Rec,7740.89,109727
2012,WCVI,Commercial,Troll,938.1,59156
2013,CCST,Commercial,Net,2110.59,5308
2013,CCST,Rec,Rec,1046.64,9588.762072106321
2013,ISC,Commercial,Net,801.45,115
2013,ISC,Other,Other,242.37,NA
2013,ISC,Rec,Rec,9072.09,62186.15723613716
2013,NCST,Commercial,Net,9.93,2126
2013,NCST,Rec,Rec,2211.66,28416.040297898096
2013,NCST,Commercial,Troll,1375.54,69543
2013,WCVI,Rec,Rec,5199.21,146363.48855324613
2013,WCVI,Commercial,Troll,2129.02,33668
2014,CCST,Commercial,Net,1414.8899999999999,2238
2014,CCST,Rec,Rec,1064.64,17176.445763250802
2014,ISC,Commercial,Net,1096.91,6844
2014,ISC,Other,Other,451.32,NA
2014,ISC,Rec,Rec,14202.38,69269.63353096535
2014,NCST,Commercial,Net,1.11,2632
2014,NCST,Rec,Rec,2255.04,43166.72367490109
2014,NCST,Commercial,Troll,2119.69,172223
2014,WCVI,Commercial,Net,48.56,19086
2014,WCVI,Rec,Rec,5639.11,124167.60009306586
2014,WCVI,Commercial,Troll,1631.21,107624
2015,CCST,Commercial,Net,3368.82,5351
2015,CCST,Rec,Rec,3464.4,23563.39434416105
2015,ISC,Commercial,Net,1500.38,8
2015,ISC,Other,Other,31.79,NA
2015,ISC,Rec,Rec,10513.56,95610.55696072774
2015,NCST,Commercial,Net,90.4,2413
2015,NCST,Rec,Rec,3816.28,72802.82672707492
2015,NCST,Commercial,Troll,979.32,105756
2015,WCVI,Commercial,Net,5223.28,10131
2015,WCVI,Rec,Rec,10754.15,160277.4943726994
2015,WCVI,Commercial,Troll,689.29,53909
2016,CCST,Commercial,Net,1418.1299999999999,3232
2016,CCST,Rec,Rec,4516.56,19101.95166738755
2016,ISC,Commercial,Net,594.33,3
2016,ISC,Rec,Rec,12263.22,67908.60109031877
2016,NCST,Commercial,Net,8.79,1222
2016,NCST,Rec,Rec,5045.4,64481.230882396725
2016,NCST,Commercial,Troll,2261.35,149449
2016,WCVI,Commercial,Net,4730.13,5122
2016,WCVI,Rec,Rec,11253.19,118626.04045216167
2016,WCVI,Commercial,Troll,1287.55,48904
2017,CCST,Commercial,Net,1234.38,3119
2017,CCST,Rec,Rec,2222.21,18780.323546767566
2017,ISC,Commercial,Net,255.74,1
2017,ISC,Rec,Rec,15205.73,95281.62845056539
2017,NCST,Commercial,Net,14.36,1257
2017,NCST,Rec,Rec,8545.64,54957.385531241365
2017,NCST,Commercial,Troll,2270.56,97742
2017,WCVI,Commercial,Net,14266.08,30486
2017,WCVI,Other,Other,1082.35,NA
2017,WCVI,Rec,Rec,20399.579999999998,124380.02602056605
2017,WCVI,Commercial,Troll,1602.24,46808
2018,CCST,Commercial,Net,2178.08,4603
2018,CCST,Rec,Rec,3296.5,20268.977790607183
2018,ISC,Commercial,Net,856.11,289
2018,ISC,Other,Other,1,NA
2018,ISC,Rec,Rec,15883.13,100490.328195862
2018,NCST,Commercial,Net,30.32,0
2018,NCST,Rec,Rec,8718.33,50215.326609738484
2018,NCST,Commercial,Troll,4774.09,70276
2018,WCVI,Commercial,Net,30305.23,21766
2018,WCVI,Rec,Rec,21206.51,136862.29887629105
2018,WCVI,Commercial,Troll,2123.08,19111
2019,CCST,Commercial,Net,2095.06,6092
2019,CCST,Rec,Rec,6904.56,19316.110220121802
2019,ISC,Commercial,Net,492.17,0
2019,ISC,Rec,Rec,15596.65,73032.68699549053
2019,NCST,Commercial,Net,14.89,0
2019,NCST,Rec,Rec,9349.69,63072.67530175585
2019,NCST,Commercial,Troll,2685.21,42801
2019,WCVI,Commercial,Net,43743.58,45505
2019,WCVI,Rec,Rec,21266.88,121198.97356822129
2019,WCVI,Commercial,Troll,1316.06,23195
2020,CCST,Commercial,Net,1042.91,4130
2020,CCST,Rec,Rec,3909.65,6076.0932686029755
2020,ISC,Commercial,Net,2155.27,0
2020,ISC,Rec,Rec,21653.36,52468.1858267855
2020,NCST,Commercial,Net,19.71,0
2020,NCST,Rec,Rec,4037.27,17015.87844702355
2020,NCST,Commercial,Troll,2365.93,30096
2020,WCVI,Commercial,Net,36849.77,42883
2020,WCVI,Rec,Rec,10398.12,69058.8520055012
