year,region,type,fishery,CWT_catch
2014,ISC,Rec,Rec,14202.38
2014,NCST,Commercial,Net,1.11
2014,NCST,Rec,Rec,2255.04
2014,NCST,Commercial,Troll,2119.69
2014,WCVI,Commercial,Net,48.56
2014,WCVI,Rec,Rec,5639.11
2014,WCVI,Commercial,Troll,1631.21
2015,CCST,Commercial,Net,3368.82
2015,CCST,Rec,Rec,3464.4
2015,ISC,Commercial,Net,1500.38
2015,ISC,Other,Other,31.79
2015,ISC,Rec,Rec,10513.56
2015,NCST,Commercial,Net,90.4
2015,NCST,Rec,Rec,3816.28
2015,NCST,Commercial,Troll,979.32
2015,WCVI,Commercial,Net,5223.28
2015,WCVI,Rec,Rec,10754.15
2015,WCVI,Commercial,Troll,689.29
2016,CCST,Commercial,Net,1418.1299999999999
2016,CCST,Rec,Rec,4516.56
2016,ISC,Commercial,Net,594.33
2016,ISC,Rec,Rec,12263.22
2016,NCST,Commercial,Net,8.79
2016,NCST,Rec,Rec,5045.4
2016,NCST,Commercial,Troll,2261.35
2016,WCVI,Commercial,Net,4730.13
2016,WCVI,Rec,Rec,11253.19
2016,WCVI,Commercial,Troll,1287.55
2017,CCST,Commercial,Net,1234.38
2017,CCST,Rec,Rec,2222.21
2017,ISC,Commercial,Net,255.74
2017,ISC,Rec,Rec,15205.73
2017,NCST,Commercial,Net,14.36
2017,NCST,Rec,Rec,8545.64
2017,NCST,Commercial,Troll,2270.56
2017,WCVI,Commercial,Net,14266.08
2017,WCVI,Other,Other,1082.35
2017,WCVI,Rec,Rec,20399.579999999998
2017,WCVI,Commercial,Troll,1602.24
2018,CCST,Commercial,Net,2178.08
2018,CCST,Rec,Rec,3296.5
2018,ISC,Commercial,Net,856.11
2018,ISC,Other,Other,1
2018,ISC,Rec,Rec,15883.13
2018,NCST,Commercial,Net,30.32
2018,NCST,Rec,Rec,8718.33
2018,NCST,Commercial,Troll,4774.09
2018,WCVI,Commercial,Net,30305.23
2018,WCVI,Rec,Rec,21206.51
2018,WCVI,Commercial,Troll,2123.08
2019,CCST,Commercial,Net,2095.06
2019,CCST,Rec,Rec,6904.56
2019,ISC,Commercial,Net,492.17
2019,ISC,Rec,Rec,15596.65
2019,NCST,Commercial,Net,14.89
2019,NCST,Rec,Rec,9349.69
2019,NCST,Commercial,Troll,2685.21
2019,WCVI,Commercial,Net,43743.58
2019,WCVI,Rec,Rec,21266.88
2019,WCVI,Commercial,Troll,1316.06
2020,CCST,Commercial,Net,1042.91
2020,CCST,Rec,Rec,3909.65
2020,ISC,Commercial,Net,2155.27
2020,ISC,Rec,Rec,21653.36
2020,NCST,Commercial,Net,19.71
2020,NCST,Rec,Rec,4037.27
2020,NCST,Commercial,Troll,2365.93
2020,WCVI,Commercial,Net,36849.77
2020,WCVI,Rec,Rec,10398.12
2020,WCVI,Commercial,Troll,677.05
