stock,recY,area,expcatch,totcatch,enhanced_prop,mort_rate,adj_catch,annual_adj_catch
Pallant Cr,1987,"2W,2E",43882,191226,0.22947716314727076,NA,43882,43882
Pallant Cr,1988,"2W,2E",78087,396356,0.19701228188799969,NA,78087,78087
Pallant Cr,1989,"2W,2E",13078,135565,0.09647032788699147,NA,13078,13078
Puntledge R,1982,"12,13",2206,1163716,0.00189565151634935,NA,2206,4750
Puntledge R,1982,14,2393,197325,0.01212720131762321,NA,2393,4750
Puntledge R,1982,17,151,36028,0.004191184634173421,NA,151,4750
Puntledge R,1983,"12,13",28,131527,2.128840466216062e-4,NA,28,7259
Puntledge R,1983,14,7231,123456,0.05857147485743909,NA,7231,7259
Puntledge R,1984,14,16767,164134,0.1021543373097591,NA,16767,16767
Puntledge R,1985,"12,13",9643,566206,0.017030903946620133,NA,9643,56261
Puntledge R,1985,14,46618,526381,0.0885632270161727,NA,46618,56261
Puntledge R,1986,"12,13",37704,1230386,0.0306440417885119,NA,37704,87540
Puntledge R,1986,14,49836,370010,0.13468825166887383,NA,49836,87540
Puntledge R,1987,"12,13",295,98759,0.00298706953290333,NA,295,73540
Puntledge R,1987,14,73245,352417,0.20783617135382232,NA,73245,73540
Puntledge R,1988,"12,13",14165,1098792,0.012891429861156616,NA,14165,17232
Puntledge R,1988,14,3067,38679,0.07929367356963728,NA,3067,17232
Puntledge R,1989,"12,13",4100,477803,0.00858094235490359,NA,4100,11004
Puntledge R,1989,14,6476,98482,0.06575820962206291,NA,6476,11004
Puntledge R,1989,20,428,20713,0.020663351518370107,NA,428,11004
Fish Cr,1982,"7,8,9",679,448479,0.0015140062299461067,NA,679,679
Fish Cr,1983,"7,8,9",5219,356771,0.014628431122484731,NA,5219,5219
Fish Cr,1984,"7,8,9",172,298775,5.756840431763033e-4,NA,172,172
Fish Cr+Airport Ch,1983,"7,8,9",948,356771,0.0026571666419075543,NA,948,948
Fish Cr+Airport Ch,1984,"7,8,9",2609,298775,0.008732323654924275,NA,2609,2609
Fish Cr+Airport Ch,1985,"7,8,9",5622,781237,0.007196279746094975,NA,5622,5622
Fish Cr+Airport Ch,1986,"7,8,9",6755,1990386,0.0033938140642066415,NA,6755,6755
Fish Cr+Airport Ch,1987,6,837,116378,0.00719208097750434,NA,837,43678
