year,region,Exp CWT,Total Hatchery,Total Catch,Enhanced Contribution
2004,WCVI,13030.61,33370.46386891298,54105,0.6167722737069213
2005,WCVI,10178.13,33044.70714868344,55532,0.5950570328582337
2006,WCVI,1901.23,6620.169846578781,23812,0.278018219661464
2007,WCVI,8240.95,21209.056917954524,56477,0.37553441078588673
2008,WCVI,5542.320000000001,14944.987072645197,33319,0.4485424854480986
2009,WCVI,12796.28,31546.41330703212,89625,0.35198229631277117
2010,WCVI,1038.88,3249.9820293514763,17801,0.18257300316563543
2011,WCVI,15911.81,67677.17152646474,70849,0.9552311468964239
2012,WCVI,5946.79,19140.728383619014,70569,0.2712342300956371
2013,WCVI,18097.6,54967.02838828204,140781.76183377352,0.3904414014450518
2014,WCVI,3512.2,14855.558752820705,112616.79329578414,0.13191246454516858
2015,WCVI,2759.83,17650.010273366795,59651.60377330429,0.29588492440945324
2016,WCVI,3911.7299999999996,24852.192882546573,34283.19791871781,0.7249088297267003
2017,WCVI,3849.34,15034.871160060702,31315.158153063017,0.4801148085081634
2018,WCVI,5884.86,25569.684603860107,51774.21153312985,0.4938691260898932
2019,WCVI,5217.25,27918.20668118267,57739.15489509299,0.483522953044734
2020,WCVI,5850.37,25540.137838925122,34458.94113897832,0.7411759327112732
1975,ISC,43244.58,86484.1458185498,402920,0.21464346723555497
1976,ISC,95044.4,95169.77411730045,635850,0.14967330992734207
1977,ISC,119382.85999999999,140569.59117904847,577894,0.2432445936089464
1978,ISC,185985.84,185985.84,791343,0.23502557045427835
1979,ISC,191421.69,239886.16558524824,560244,0.42818158799603073
1980,ISC,249389.14,359170.153932982,565842,0.6347534363532258
1981,ISC,187799.06,211232.3346478787,632405,0.3340143336119713
1982,ISC,172796.56,274120.1689477603,873833,0.31369857735718415
1983,ISC,232115.11,302906.900563594,951439,0.31836712659833577
1984,ISC,146517.47,202347.2681054628,842857,0.2400730706459848
1985,ISC,336939.48,473665.267102824,1175863,0.40282351524184706
1986,ISC,355618.35,427547.2228534071,1287635,0.3320406969781088
1987,ISC,406548.82,534210.1287411965,1013202,0.5272493823948201
1988,ISC,502811.66,631751.9975315677,1504220,0.4199864365129886
1989,ISC,239391.94,327328.4622527194,787854,0.41546842721204613
1990,ISC,264912.22000000003,414409.4850246271,999266,0.414713885016229
1991,ISC,60966.96,83198.88403788279,188529,0.4413054969680144
1992,ISC,241027.50999999998,313052.80167637864,864036,0.3623145351309189
1993,ISC,296629.22000000003,467649.7757420021,1139247,0.41049024113471627
1994,ISC,90060.31,134772.66221642736,303803,0.4436186022403576
1995,ISC,13508.99,18787.70633149712,42016,0.4471559960847563
1996,ISC,20292.62,29309.51168937234,42794,0.6848976886800098
1997,ISC,16074.49,24180.0440181394,22587,1.0705292432877054
1998,ISC,2108.07,3151.913147071401,1772,1.7787320243066598
1999,ISC,9482.960000000001,13391.393251466543,313,42.78400399829567
2000,ISC,173907.38,236465.13035528132,4703,50.27963647783996
2001,ISC,35640.7,57547.9270541679,12116,4.749746372909203
2002,ISC,13891.550000000001,28224.320959297573,6363,4.435694005861634
2003,ISC,14485.04,29391.348961425516,11507,2.554214735502348
2004,ISC,1749.57,3427.856321261689,8315,0.41224970790880205
2005,ISC,1929.92,4490.302979350858,10539,0.42606537426234536
2007,ISC,2766.33,11580.42141039821,8674,1.3350727934514883
2008,ISC,265,919.5235067953633,1576,0.5834540017737077
2009,ISC,532.24,2176.273419501932,10651,0.20432573650379607
2010,ISC,364.46,1596.680413110894,6077,0.26274155226442225
2011,ISC,704.29,3558.982752296295,8525,0.4174759826740522
2012,ISC,2568.0499999999997,7788.951184896082,10290,0.7569437497469468
2013,ISC,8331.789999999999,25353.274842105202,59895.54028305398,0.4232915292572844
2014,ISC,1700.3,5547.97105883686,35671.8429470369,0.1555280187534495
2015,ISC,695.7099999999999,2285.7690184567914,24305.69011377909,0.0940425475580704
2016,ISC,3124.62,10266.641474496888,21948.347541309115,0.46776375557084565
2017,ISC,4180.43,17413.072579027674,18490.222891472386,0.9417448713967916
2018,ISC,3453.0299999999997,12172.21795597809,30255.7268046054,0.4023112065556226
2019,ISC,2033.95,7841.098587467167,14094.251066984974,0.5563331141329332
2020,ISC,5695.01,26412.12006620324,11112.217896353188,2.376854045930037
2006,ISC,0,0,3580,0
